Stadium Name,City,Primary Home Team(s)
Narendra Modi Stadium,Ahmedabad,Gujarat Titans
M. Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru
MA Chidambaram Stadium,Chennai,Chennai Super Kings
Arun Jaitley Stadium,New Delhi,Delhi Capitals
HPCA Stadium,Dharamsala,Punjab Kings
Barsapara Cricket Stadium,Guwahati,Rajasthan Royals
Rajiv Gandhi Intl. Stadium,Hyderabad,Sunrisers Hyderabad
Sawai Mansingh Stadium,Jaipur,Rajasthan Royals
Eden Gardens,Kolkata,Kolkata Knight Riders
BRSABV Ekana Cricket Stadium,Lucknow,Lucknow Super Giants
Wankhede Stadium,Mumbai,Mumbai Indians
Maharaja Yadavindra Singh Int. Stadium,New Chandigarh,Punjab Kings
ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Capitals
